Root,Frequency
ich,2641
die,1558
sch,1235
wir,1144
men,482
ste,467
ach,452
rei,434
wei,384
ehr,366
ges,277
eis,260
viel,258
sin,242
sich,241
hei,237
lei,233
eig,231
ebe,208
all,195
ganz,186
erd,181
kön,167
komm,166
mei,166
ad,149
mach,141
rie,140
klima,136
schon,136
sta,130
energi,130
zei,125
jahr,124
änd,119
mus,114
wirk,114
geb,108
erb,108
kri,107
nehm,104
hem,103
rich,102
gel,102
natür,102
gut,100
mensch,99
bil,98
brauch,97
neu,96
int,94
kon,94
zeit,94
strom,93
for,93
fin,92
prei,92
politik,89
rech,87
halt,87
son,83
rat,82
seit,81
bis,80
bau,79
kehr,78
tag,77
teil,77
wieder,74
wied,74
sit,73
stell,72
frei,70
sonder,70
fahr,67
gew,67
art,65
ord,64
tat,64
per,62
würd,62
ker,60
res,60
ding,59
wiss,59
letz,58
land,55
win,54
woh,54
schw,53
find,53
gleich,53
setz,53
geg,53
schau,53
arbeit,53
mög,53
welt,52
problem,51
hör,50
durch,50
kos,49
kla,48
öko,48
will,46
schaff,46
investi,46
steh,45
rück,45
zwe,44
führ,43
funk,43
leu,43
bank,43
akt,42
system,42
leb,41
pla,41
lang,41
schu,40
selb,40
lag,40
spa,39
form,38
verb,37
haus,37
öl,36
klei,36
struk,36
wahr,35
wich,35
zun,35
woll,34
gemein,34
lis,34
ziel,33
mobil,33
ssio,33
bild,33
erm,32
voll,32
druck,31
grund,31
lus,31
pos,30
kind,29
min,29
kunf,28
posi,28
häng,28
kussio,27
reg,27
stand,27
asch,26
zeug,26
kraft,26
mark,26
wand,25
gig,25
mut,24
dich,23
zieh,23
forma,23
katastroph,23
spar,23
jek,22
folg,22
stimm,22
flu,22
tech,22
nah,22
schutz,21
roll,21
ford,21
wert,21
heiz,21
schäf,20
verw,20
wandel,20
wohl,20
zahl,20
halb,19
bürg,19
schri,19
plan,19
hol,19
staa,19
raum,19
sach,18
ständ,17
allem,17
stütz,17
mun,17
trag,17
verbrauch,17
amt,17
fäh,16
bah,16
treib,16
begr,16
gesamt,16
verdi,16
nahm,16
partei,15
konsum,15
stärk,15
zäh,15
zähl,15
fühl,14
unb,14
stadt,14
gründ,14
gab,14
höh,14
beso,14
situa,14
träg,14
lauf,14
merk,13
atom,13
sozi,13
wärm,13
klär,13
prozess,13
meng,13
sommer,13
schied,13
satz,12
wach,12
bund,12
duk,12
umwelt,12
alisi,12
pot,12
erfolg,11
schicht,11
organisa,11
konf,11
roh,11
komplex,11
natio,11
produkt,11
ökonom,11
neb,10
grenz,10
norm,10
kapaz,10
photo,10
volt,10
tot,9
qualität,9
effekt,9
stoff,9
ökonomi,9
nomm,9
trieb,9
gela,8
alterna,8
ökolog,8
mes,8
exi,8
stieg,8
ref,8
fes,8
entwickl,8
schü,8
temperat,8
schlech,8
kräf,8
steu,8
konsequ,8
wuss,8
wasser,8
effizi,8
nutz,8
forsch,8
hoch,7
här,7
aktion,7
elektr,7
uv,7
füg,7
dauer,7
völk,7
vielf,6
lik,6
kapital,6
institu,6
balanc,6
potenzi,6
schöpf,6
gäng,6
hef,6
bäud,6
radik,5
büro,5
kopf,5
firma,5
stern,5
freund,5
linie,5
wechs,5
prinzip,5
quell,5
nacht,5
norma,5
volk,5
neutr,5
wett,5
atmo,5
sphär,5
flä,4
last,4
wider,4
studi,4
kämpf,4
nerat,4
nera,4
fei,4
konsens,4
konst,4
natur,4
schni,4
grupp,4
weitergeh,4
stör,4
hält,4
zuw,4
herr,4
neri,4
irr,4
trau,4
spiegel,4
gieb,4
gio,4
sektor,4
manag,4
ssor,4
mag,4
stabil,4
gold,4
hart,3
präg,3
innova,3
hilf,3
wald,3
initia,3
kul,3
züg,3
pupp,3
inklu,3
tradi,3
duld,3
betä,2
wog,2
ressource,2
organisi,2
serv,2
umgeb,2
salz,2
verei,2
dez,2
perma,2
wandlungsprozess,2
harmoni,2
famili,2
niveau,2
schlüssel,2
zykl,2
schäd,2
parat,2
strategi,2
leuch,2
enkel,2
auftrag,2
koopera,2
pflicht,2
nkm,2
stolz,2
glied,2
ambi,2
wohnhei,2
technik,2
indikat,2
müll,2
feu,2
maxim,2
risiko,2
seel,1
kampf,1
mikro,1
rühr,1
derb,1
kreis,1
scheh,1
lok,1
gif,1
horizo,1
klo,1
hörd,1
dynamik,1
dring,1
wusstsei,1
faktor,1
gramm,1
sad,1
umfeld,1
vollkomm,1
deh,1
sträng,1
silb,1
bär,1
siegel,1
motiva,1
ministeri,1
verlä,1
pack,1
meid,1
himmel,1
mega,1
