Morpheme,Type,Count
be,Prefix,18
ge,Prefix,16
un,Prefix,13
ent,Prefix,10
ver,Prefix,10
er,Prefix,8
re,Prefix,8
zu,Prefix,3
pro,Prefix,3
ab,Prefix,3
nach,Prefix,2
an,Prefix,2
ein,Prefix,1
Umwelt,Root,15
Klima,Root,14
Last,Root,12
Halt,Root,10
Wickl,Root,8
Ozo,Root,7
Auf,Root,5
Ressource,Root,5
Staub,Root,5
Tempera,Root,5
End,Root,4
Gel,Root,4
Maß,Root,4
Energi,Root,4
Wärm,Root,4
Schutz,Root,4
Stoff,Root,4
Änd,Root,4
Ständ,Root,3
Kon,Root,3
Tanz,Root,3
Dauer,Root,3
Kosmos,Root,3
Kunf,Root,3
Fäh,Root,3
Rech,Root,3
Ökolog,Root,3
Gleich,Root,3
Erd,Root,3
Bil,Root,3
Schad,Root,3
Luf,Root,3
Ver,Root,3
Zer,Root,3
Schmutz,Root,3
Bild,Root,3
Kontinu,Root,2
Ste,Root,2
Ewig,Root,2
Zeit,Root,2
Bis,Root,2
Schöpf,Root,2
Zähl,Root,2
Stand,Root,2
Stabil,Root,2
Wandel,Root,2
Wich,Root,2
Mäß,Root,2
Gleichmäß,Root,2
Ganz,Root,2
Schni,Root,2
Nitra,Root,2
Nera,Root,2
Konzentra,Root,2
Blem,Root,2
Qualität,Root,2
Träg,Root,2
Fei,Root,2
Abl,Root,2
Zykl,Root,2
Fall,Root,2
Scho,Root,2
Aus,Root,2
Schw,Root,2
Stör,Root,2
Wüs,Root,2
Wasser,Root,2
Wechsel,Root,2
Stieg,Root,2
Ad,Root,1
Infini,Root,1
Pupp,Root,1
Grenz,Root,1
Unb,Root,1
Gründ,Root,1
Erm,Root,1
Überschau,Root,1
Zahl,Root,1
Los,Root,1
Wahr,Root,1
Pfleg,Root,1
Sich,Root,1
Enkel,Root,1
Taug,Root,1
Rei,Root,1
Vorra,Root,1
Trag,Root,1
Qualita,Root,1
Wach,Root,1
Umweltbewu,Root,1
Perma,Root,1
Per,Root,1
Rühr,Root,1
Gäng,Root,1
Harmoni,Root,1
Balanc,Root,1
Allgemei,Root,1
Sam,Root,1
Komplex,Root,1
Tot,Root,1
Ebe,Root,1
Othermi,Root,1
Gleichar,Root,1
Gleichförm,Root,1
Gold,Root,1
Grund,Root,1
Mus,Root,1
Mag,Root,1
Symmetri,Root,1
Klimafreund,Root,1
Klimaneutr,Root,1
Naturnah,Root,1
Kobil,Root,1
Effizi,Root,1
Umweltfreund,Root,1
Kos,Root,1
Blematik,Root,1
Umweltschäd,Root,1
Umweltscho,Root,1
Jahr,Root,1
Durch,Root,1
Katastroph,Root,1
Kri,Root,1
Wer,Root,1
Treibhauseffek,Root,1
Wind,Root,1
Häl,Root,1
Samtindikator,Root,1
Wechselsei,Root,1
Häng,Root,1
Ökonomi,Root,1
Sozi,Root,1
Rythmu,Root,1
Wied,Root,1
Hol,Root,1
Wiederkehr,Root,1
Meid,Root,1
Spar,Root,1
Wei,Root,1
Verw,Root,1
Deh,Root,1
Nutz,Root,1
Wald,Root,1
Eutrophi,Root,1
Nat,Root,1
Ölverschmutz,Root,1
Pcbbelast,Root,1
Quecksilb,Root,1
Neri,Root,1
Ssorcenverbrauch,Root,1
Metall,Root,1
Krei,Root,1
Lauf,Root,1
Umweltgefärd,Root,1
Salz,Root,1
Heiz,Root,1
Eis,Root,1
Schmelz,Root,1
Scheh,Root,1
Schich,Root,1
Meer,Root,1
Spiegel,Root,1
Bau,Root,1
Schwund,Root,1
Schadstoffemissi,Root,1
Höh,Root,1
Sturz,Root,1
Wolk,Root,1
ung,Suffix,61
t,Suffix,37
n,Suffix,25
keit,Suffix,23
ig,Suffix,21
s,Suffix,19
e,Suffix,19
lich,Suffix,13
er,Suffix,12
en,Suffix,6
ur,Suffix,6
ität,Suffix,5
isch,Suffix,5
bar,Suffix,4
heit,Suffix,4
anz,Suffix,4
end,Suffix,4
los,Suffix,3
es,Suffix,3
enz,Suffix,3
al,Suffix,3
tion,Suffix,3
haft,Suffix,2
tum,Suffix,2
chen,Suffix,2
iv,Suffix,2
ten,Suffix,2
st,Suffix,1
ist,Suffix,1
et,Suffix,1
ismus,Suffix,1
nis,Suffix,1
te,Suffix,1
