Morpheme,Type,Count
be,Prefix,6
re,Prefix,4
un,Prefix,4
ge,Prefix,3
er,Prefix,2
auf,Prefix,1
nach,Prefix,1
weg,Prefix,1
Nat,Root,8
Welt,Root,8
Klima,Root,5
System,Root,4
Ich,Root,4
Erd,Root,4
Kugel,Root,4
Umwelt,Root,4
Leb,Root,3
Raum,Root,3
All,Root,2
Stand,Root,2
Globu,Root,2
Umgeb,Root,2
Halb,Root,2
Son,Root,2
End,Root,2
Smog,Root,2
Schutz,Root,2
Katastroph,Root,2
Begr,Root,1
Nahm,Root,1
Kapaz,Root,1
Natür,Root,1
Ressource,Root,1
Ökolog,Root,1
Über,Root,1
Ambi,Root,1
Ding,Root,1
Dimensio,Root,1
Hin,Root,1
Grund,Root,1
Horizo,Root,1
Mit,Root,1
Setz,Root,1
Öko,Root,1
Wei,Root,1
Äth,Root,1
Dball,Root,1
Dhalbkugel,Root,1
Firma,Root,1
Galaxi,Root,1
Stir,Root,1
Heima,Root,1
Plan,Root,1
Hemisphär,Root,1
Makrokoso,Root,1
Mut,Root,1
Nord,Root,1
Sternhimmel,Root,1
Süd,Root,1
Umlauf,Root,1
Bah,Root,1
Groß,Root,1
Viel,Root,1
Iversum,Root,1
Wel,Root,1
Bäud,Root,1
Welttall,Root,1
Atmosphär,Root,1
Klei,Root,1
Luf,Root,1
Hüll,Root,1
Mikro,Root,1
Ozonschich,Root,1
Ozo,Root,1
Sommer,Root,1
Uvstrahl,Root,1
Wach,Root,1
Rohstoff,Root,1
Ölkatastroph,Root,1
Ölp,Root,1
Sektor,Root,1
Situa,Root,1
Gsenergi,Root,1
Bio,Root,1
Energi,Root,1
Gew,Root,1
e,Suffix,15
n,Suffix,9
t,Suffix,8
ur,Suffix,8
ung,Suffix,4
s,Suffix,4
lich,Suffix,3
er,Suffix,3
ens,Suffix,3
en,Suffix,2
te,Suffix,2
enz,Suffix,1
ität,Suffix,1
isch,Suffix,1
ment,Suffix,1
et,Suffix,1
ten,Suffix,1
end,Suffix,1
est,Suffix,1
tion,Suffix,1
al,Suffix,1
